id_poliza,numero_poliza,id_cliente,tipo_cliente,documento_cliente,nombre_cliente,segmento,canal_origen,intermediario_id,intermediario_nombre,linea_negocio,producto,plan,moneda,suma_asegurada,deducible,coberturas_clave,fecha_inicio_vigencia,fecha_fin_vigencia,ciclo,estado_poliza,renovable,fecha_renovacion_estimada,estado_renovacion,motivo_no_renovacion,prima_neta,impuestos,prima_total,forma_pago,frecuencia_pago,estado_pago,dias_mora,valor_en_mora,fecha_ultimo_pago,numero_siniestros_12m,valor_siniestros_12m,ratio_siniestralidad_12m,score_riesgo,score_renovacion,categoria_prioridad,asesor_asignado_id,asesor_asignado_nombre,fecha_ultima_gestion,resultado_ultima_gestion,proxima_accion,fecha_proxima_accion,observaciones,telefono_cliente,email_cliente,ciudad_cliente,departamento_cliente,created_at,updated_at,fuente_dato,version_registro,antiguedad_cliente_meses,valor_total_primas_cliente,n_polisas_activas_cliente,lifetime_value_estimado,prob_churn,motivo_riesgo_churn,fecha_envio_cotizacion,fecha_respuesta_cliente,estado_cotizacion,competidor_reportado,descuento_ofrecido_pct,incremento_prima_pct,razon_ajuste_prima,metodo_recaudo,banco_recaudo,referencia_recaudo,promesa_pago_fecha,promesa_pago_valor,cobranza_etapa,cobranza_ult_gestion_fecha,cobranza_ult_resultado,semáforo_vencimiento,dias_para_vencimiento,ventana_renovacion_dias,kpi_retencion_cliente,kpi_retencion_producto,kpi_retencion_asesor,kpi_tiempo_promedio_renovacion_dias,kpi_contactabilidad,kpi_tasa_mora,kpi_siniestros_promedio_12m,kpi_ratio_siniestralidad_producto,riesgo_fraude_score,riesgo_fraude_flag,riesgo_cobertura_inadecuada_flag,nps_ultimo,csat_ultimo,quejas_12m,pqr_12m,reclamos_12m,canal_preferido_contacto,horario_preferido_contacto,idioma_preferido,consentimiento_marketing,consentimiento_whatsapp,consentimiento_email,broker_score,broker_tipo,broker_comision_pct,broker_comision_valor,campaña_actual,lead_source,utm_source,utm_medium,utm_campaign,ultima_interaccion_canal,ultima_interaccion_fecha,ultima_interaccion_detalle,sla_respuesta_horas,sla_cumplido_flag,prioridad_operativa,estado_documentacion,documentos_faltantes,fecha_ultima_actualizacion_docs,tipo_factura,numero_factura,fecha_factura,fecha_venc_factura,anexo_renovacion_flag,fecha_emision_anexo,motivo_anexo,usuario_aprueba_anexo,riesgo_operacional_flag,riesgo_operacional_detalle,alertas_activas,alerta_principal,geoloc_lat,geoloc_lon,zona_riesgo_geo,indice_climatico_zona,canal_pago_preferido,autopago_flag,autopago_fecha_activacion,ticket_soporte_abierto_flag,ticket_soporte_id,ticket_soporte_estado,custom_field_001,custom_field_002,custom_field_003,custom_field_004,custom_field_005,custom_field_006,custom_field_007,custom_field_008,custom_field_009,custom_field_010,custom_field_011,custom_field_012,custom_field_013,custom_field_014,custom_field_015,custom_field_016,custom_field_017,custom_field_018,custom_field_019,custom_field_020,custom_field_021,custom_field_022,custom_field_023,custom_field_024,custom_field_025,custom_field_026,custom_field_027,custom_field_028,custom_field_029,custom_field_030,custom_field_031,custom_field_032,custom_field_033,custom_field_034,custom_field_035,custom_field_036,custom_field_037,custom_field_038,custom_field_039,custom_field_040,custom_field_041,custom_field_042,custom_field_043,custom_field_044,custom_field_045,custom_field_046,custom_field_047,custom_field_048,custom_field_049,custom_field_050,custom_field_051,custom_field_052,custom_field_053,custom_field_054,custom_field_055,custom_field_056,custom_field_057,custom_field_058,custom_field_059
POLZPQK51FPKH,6647119-23,CLID0TVBDIVUZ,natural,217696843,Sofía Díaz,PYME,Broker,BRK6OH9SDBD,Broker Norte,RC,RC General,A,COP,11426000.0,10%,basica,2025-10-31,2026-04-29,semestral,vigente,sí,2026-04-29,pendiente,,2133300.0,324600.0,2457900.0,financiado,trimestral,al_dia,0,0.0,2025-09-25,1,353200.0,0.1437,51,57,C,ASES004,Carlos Díaz,2026-01-16,reagenda,visita,2026-02-10,Revisar mora,+573909990148,sofia.diaz45@example.com,Cali,Valle del Cauca,2025-02-23,2026-01-19,crm,5,48,6824000.0,6,12379100.0,0.3695,,,,,,0.0,0.1891,Ajuste técnico,Débito automático,Bancolombia,RECBIKCIDKWN,,0.0,normal,,,verde,98,45,0.7474,0.6488,0.9426,8,0.6901,0.026,0.428,0.25,6,no,no,64,71,0,0,0,llamada,tarde,en,sí,no,sí,78,,0.0551,117500.0,Winback,web,meta,cpc,brand,portal,2026-01-04,consulta renovación,28,no,baja,en_revision,soat,2025-12-25,,,,,no,,,,no,,3,vencimiento,7.198051,-75.124302,media,0.2912,Débito,sí,2025-04-09,no,,,NA,,188,1876,8797,0.6075,0.1705,,,,,4315,flag_no,,,8317,2504,,,NA,0.0651,8005,,tag_a,,,1290,,,,0.9489,0.9656,,,,,0.8084,,,,3295,6537,tag_a,,,,,,3770,117,,3750,,,,,,,
POL5IGQPKI7P5,2642635-16,CLIDPPQ0Y9DOM,natural,210280283,Carlos Martínez,PYME,Directo,,,RC,RC Profesional,B,COP,2503900.0,$1.000.000,ampliada,2025-07-02,2026-07-02,anual,vigente,sí,2026-07-02,aceptada,,1166700.0,213700.0,1380400.0,recaudo,anual,al_dia,0,0.0,2026-01-21,1,245800.0,0.1781,55,41,C,ASES004,Carlos Díaz,2026-01-05,no_interesado,visita,2026-02-04,Enviar propuesta,+573178575192,carlos.martinez53@example.com,Medellín,Antioquia,2025-09-16,2026-01-03,core,5,87,7328700.0,4,10815200.0,0.2787,siniestralidad,2025-12-30,2026-01-06,enviada,,0.0186,0.0301,IPC,PSE,BBVA,RECCVS4F8CGV,,0.0,normal,,,verde,162,45,0.8819,0.7362,0.7457,5,0.5104,0.1508,0.991,0.3898,6,no,sí,14,81,0,0,1,whatsapp,,en,no,sí,sí,41,,0.0,0.0,Winback,callcenter,meta,email,,email,2025-11-23,consulta renovación,2,sí,media,en_revision,,2026-01-09,electrónica,FACTSEMCIKPT,2025-12-14,2026-01-26,sí,2025-10-28,ajuste_prima,u_admin,sí,datos_inconsistentes,0,,10.515992,-72.57845,baja,0.5979,,sí,2025-09-04,no,,,,,0.729,,4533,,,,flag_no,9038,9189,,,0.7713,0.074,,0.3585,2426,,,,flag_si,0.1159,,,,0.8631,0.6233,,2532,flag_no,0.3309,flag_no,0.0636,,5442,0.311,,4065,,0.3252,,0.7296,0.6376,,0.8872,,,0.4722,,,,,0.1196,tag_a,,,8785,
POLA7TZ0YNCXL,6266630-94,CLIDP0LVSNUJZ,natural,1099037295,Sofía Gómez,Masivo,Digital,,,Autos,Auto Full,C,COP,5948200.0,$1.000.000,premium,2025-01-20,2026-01-20,anual,vencida,sí,2026-01-20,en_gestion,,2772100.0,515100.0,3287200.0,financiado,anual,al_dia,0,0.0,2025-09-28,1,1006900.0,0.3063,100,44,A,ASES002,Juan Pérez,2025-12-13,reagenda,visita,2026-02-03,,+573716070802,sofia.gomez53@example.com,Cali,Valle del Cauca,2025-02-15,2026-01-01,broker,1,95,6076200.0,1,11257400.0,0.1322,,,,,,0.0,0.0979,IPC,Efectivo,BBVA,RECH2VLPYS28,,0.0,normal,,,rojo,-1,45,0.8932,0.8229,0.8029,11,0.6946,0.2175,0.349,0.171,8,no,sí,43,57,0,1,0,llamada,noche,es,no,sí,sí,86,,0.0,0.0,Renueva 2026,callcenter,,organic,,portal,2025-12-27,pago,19,sí,baja,en_revision,cedula,2025-09-29,electrónica,FAC2H2ZQU7EE,2025-11-23,2026-01-05,no,,,,no,,4,,9.044409,-76.24161,media,0.077,,no,,sí,TCK0RJIW1SWJC,cerrado,,,3505,,,,,,,0.2279,320,0.4271,0.818,,,,0.8607,0.007,tag_b,,9883,0.5107,,,,,6624,7657,0.4174,NA,,,444,,,0.2221,,,,,,0.1199,,tag_b,,,,,tag_a,,,flag_si,0.3376,flag_no,0.9429,3908,,9240,tag_b
POLCYWD14VE92,6825112-78,CLIE38DALY8OZ,natural,158083460,Juan Pérez,Masivo,Alianza,,,RC,RC Profesional,C,COP,8833800.0,0,premium,2024-03-04,2025-03-04,anual,cancelada,sí,2025-03-04,perdida,siniestro,1827100.0,300500.0,2127600.0,financiado,trimestral,en_mora,91,285400.0,2025-12-30,1,0.0,0.0,55,29,B,ASES005,María Torres,2026-01-04,reagenda,whatsapp,2026-02-06,Enviar propuesta,+573695294275,juan.perez44@example.com,Bucaramanga,Santander,2025-06-26,2026-01-06,crm,4,72,2235600.0,2,3122900.0,0.0513,,2026-01-07,2026-01-08,enviada,Aseguradora Z,0.0,0.037,Siniestralidad,PSE,BBVA,REC5IQVNB4GH,2026-02-03,179600.0,tardía,2026-01-02,promesa,rojo,-323,45,0.8814,0.675,0.7857,12,0.5597,0.2507,1.403,0.4806,22,no,sí,20,80,0,0,0,,,es,sí,sí,sí,64,,0.0,0.0,Winback,callcenter,linkedin,,brand,email,2025-12-08,cambio cobertura,35,no,media,incompleta,camara_comercio,2026-01-06,,,,,sí,2025-12-12,actualizacion_datos,u_operaciones,sí,recaudo,3,docs,10.266127,-76.18241,alta,0.1449,,no,,sí,TCK3KMKZEBBK7,,,,tag_b,,,,878,,0.5358,flag_si,flag_si,6818,3697,0.0903,,0.8353,,7025,,9988,flag_si,flag_no,4335,2573,,2564,,,4771,,,,0.3208,,,,0.1865,3241,,,4352,0.0408,,,,9325,tag_b,,6594,NA,,,7078,9891,,,NA,339,tag_a
POLYK83TQLL8O,9633492-10,CLIGVWRDMLY4L,jurídica,910930301,Empresa Rojas S.A.S.,Masivo,Directo,,,Pyme,Pyme Multirriesgo,B,COP,13540000.0,10%,premium,2025-02-25,2026-02-25,anual,vigente,sí,2026-02-25,en_gestion,,4150100.0,626400.0,4776500.0,financiado,anual,al_dia,0,0.0,2025-12-18,0,0.0,0.0,27,63,B,ASES005,María Torres,2026-01-13,interesado,enviar_cotizacion,2026-02-06,Pendiente documentos,+573201415220,empresa.rojas67@example.com,Bogotá,Cundinamarca,2025-06-22,2025-12-26,batch_import,4,120,21890800.0,5,61785600.0,0.0525,,,,,,0.0,-0.0172,,Débito automático,Davivienda,RECLAOI4E8XF,,0.0,normal,,,amarillo,35,45,0.9291,1.0,0.8173,8,0.464,0.2353,1.35,0.0739,31,no,sí,57,64,1,0,0,llamada,,es,sí,no,sí,93,,0.0,0.0,Renueva 2026,broker,,email,brand,whatsapp,2026-01-03,soporte,63,no,alta,incompleta,,2025-11-21,manual,FACL1N759IN4,2025-11-30,2025-12-12,no,,,,no,,3,siniestro,10.397549,-72.674634,alta,0.2579,Débito,no,,sí,TCKE8LD4D6AF5,en_progreso,5383,0.8971,0.8871,,,7994,0.7799,,,4708,flag_si,,,1646,,474,,0.642,,,,,2950,,,0.0841,3945,,3804,,,,,0.1616,0.8986,2588,,NA,,tag_a,,,tag_b,,,,,359,tag_b,,803,0.6064,4689,0.0092,,0.1015,,,
POLNSJF678K52,8857296-19,CLI2BNE6LOH25,natural,1857137867,Andrés López,Masivo,Alianza,,,Cumplimiento,Cumplimiento Contratos,Platinum,COP,7336100.0,$1.000.000,ampliada,2025-04-02,2026-04-02,anual,vigente,sí,2026-04-02,aceptada,,1787200.0,260200.0,2047400.0,contado,anual,en_mora,2,400200.0,2026-01-06,1,0.0,0.0,68,43,C,ASES004,Carlos Díaz,2025-12-29,interesado,whatsapp,2026-02-03,Enviar propuesta,+573777621770,andres.lopez87@example.com,Cartagena,Bolívar,2025-01-29,2025-12-22,batch_import,5,50,6691400.0,6,22640900.0,0.0899,,2025-12-26,2026-01-10,enviada,,0.013,0.0131,IPC,Efectivo,,RECHC36KOF8K,2026-01-29,223300.0,temprana,2026-01-04,no_contactado,verde,71,45,0.9168,0.8438,1.0,9,0.469,0.1372,0.218,0.4059,29,no,sí,17,90,1,1,0,llamada,,es,no,sí,no,89,,0.0,0.0,Renueva 2026,broker,meta,,,llamada,2025-11-28,soporte,13,sí,baja,incompleta,,2025-09-28,,,,,no,,,,sí,,2,vencimiento,5.121619,-76.158057,baja,0.973,Transferencia,sí,2025-10-05,sí,TCKBM92H3TV3I,en_progreso,0.0243,,0.6455,,,0.1771,258,,,8619,,,,,7405,,flag_si,8543,,510,,,,8032,7267,,,1076,,9590,,,NA,,,,0.9405,,9033,3522,,0.9539,,0.9149,,5120,,6132,tag_b,,0.3702,,,2131,9608,NA,,,
POLPU1WYUVXYB,5584716-99,CLIDSFR4MUEKI,natural,763817064,Camila Pérez,Masivo,Broker,BRKOLMLGSES,Broker Capital,RC,RC Profesional,Platinum,COP,13917100.0,$1.000.000,ampliada,2025-09-22,2026-09-22,anual,vigente,sí,2026-09-22,pendiente,,2106000.0,362000.0,2468000.0,contado,mensual,en_mora,12,1136200.0,2025-12-25,2,798000.0,0.3233,74,55,C,ASES004,Carlos Díaz,2025-12-26,no_interesado,visita,2026-01-27,Cliente solicita ajuste de cobertura,+573194782734,camila.perez19@example.com,Bogotá,Cundinamarca,2025-08-16,2026-01-20,crm,4,87,10840500.0,4,26146700.0,0.0689,,,,,,0.0,0.0499,Ajuste técnico,PSE,Bancolombia,RECF1BCPPVOH,2026-01-30,632800.0,jurídica,2026-01-18,promesa,verde,244,45,0.9066,0.8954,0.7436,5,0.7573,0.1811,0.958,0.9235,22,no,sí,32,89,1,0,0,whatsapp,mañana,es,sí,sí,sí,71,empresa,0.0663,139600.0,Renueva 2026,web,,,renewals,llamada,2025-12-28,,30,no,baja,en_revision,soat,2026-01-12,manual,FAC5BA75UUZP,2026-01-07,2026-02-11,sí,2025-12-11,cambio_cobertura,,no,,0,,10.920431,-76.729538,media,0.5183,PSE,sí,2025-06-12,no,,,,,,0.7983,,tag_b,,9494,,NA,5295,0.65,2473,,,4500,5766,,,,,0.702,,0.7958,0.89,8307,,672,,0.338,5267,8214,,,,0.3756,,8266,641,,,,,,,,,,5482,,,4655,,0.094,NA,0.5783,,2317,0.0359
POLNNGH8RIEC4,2696860-74,CLIN23Y30YSXP,natural,91062112,Carlos Torres,Masivo,Digital,,,Salud,Salud Premium,B,COP,10315600.0,0,basica+asistencia,2025-11-14,2026-02-12,trimestral,vigente,sí,2026-02-12,en_gestion,,5798200.0,761600.0,6559800.0,recaudo,anual,en_mora,99,2582000.0,2025-09-28,0,0.0,0.0,48,64,B,ASES002,Juan Pérez,2025-12-24,contactado,enviar_cotizacion,2026-02-02,,+573361597989,carlos.torres99@example.com,Cartagena,Bolívar,2025-03-17,2026-01-17,broker,1,65,23860000.0,2,73461400.0,0.0728,,,,,,0.0,0.1326,Siniestralidad,Transferencia,,RECK0QTL3Q4N,2026-01-31,2561900.0,jurídica,2026-01-12,pago_parcial,amarillo,22,45,0.7671,0.8752,0.7845,9,0.7557,0.2093,0.1,0.1698,0,no,sí,37,100,0,1,0,,noche,es,no,sí,sí,72,,0.0,0.0,Cross-sell,broker,,organic,,whatsapp,2025-11-22,pago,58,no,media,completa,,2025-11-29,electrónica,FACONNCILDZM,2026-01-03,2026-01-21,sí,2025-12-16,,u_operaciones,no,,3,,7.250837,-74.526507,baja,0.6374,PSE,sí,2025-09-12,sí,TCK4T0SEKKBP2,,9421,,,,3941,3068,1402,,,NA,,NA,,0.1564,,,,5850,0.2502,,1698,0.5492,5447,,,,7612,tag_b,2209,,0.7146,,,,,,NA,,0.6602,,,4687,,0.2799,0.9549,,,,0.7379,6334,,,6018,NA,,,,,flag_no
POL2CYOS0FB4Y,8351320-14,CLIQZFPQ06WPX,natural,516796218,Andrés García,Masivo,Broker,BRKE3TV1ES5,Broker Andes,Pyme,Pyme Integral,C,COP,6122400.0,5%,ampliada,2025-03-19,2026-03-19,anual,vigente,sí,2026-03-19,pendiente,,5215700.0,681900.0,5897600.0,financiado,mensual,al_dia,0,0.0,2025-12-05,0,0.0,0.0,42,36,C,ASES003,Diana Rojas,2025-12-24,contactado,whatsapp,2026-01-26,Cliente solicita ajuste de cobertura,+573393342201,andres.garcia47@example.com,Cartagena,Bolívar,2025-11-12,2025-12-25,core,4,79,14318700.0,4,23774900.0,0.1515,,,,,,0.0,0.093,Cambio cobertura,Efectivo,BBVA,RECIE0RNUJJQ,,0.0,normal,,,verde,57,45,0.8247,1.0,0.8683,13,0.6496,0.1449,1.024,0.2527,16,no,no,92,78,0,0,0,llamada,,es,no,no,no,56,,0.0756,394300.0,Renueva 2026,,linkedin,email,renewals,llamada,2025-12-02,soporte,66,no,alta,completa,,2025-12-27,electrónica,FACIRMUQ9E5C,2025-12-02,2026-01-11,no,,,,no,,4,mora,6.188038,-74.112824,baja,0.6351,Tarjeta,sí,2025-06-05,no,,,,5669,NA,0.5755,0.3882,,9024,,8740,,9696,flag_no,,9914,,flag_si,0.6433,,,9449,,,496,,4745,4949,,0.4583,4873,,2589,,,,5121,0.5456,,tag_a,flag_no,0.9415,,,,,,,,NA,,flag_no,0.3861,tag_a,,,tag_b,,,,NA
POLBBUNKNQT3W,2993318-26,CLIV4YKADEJNO,natural,811437321,Sofía Díaz,Masivo,Broker,BRKQTTY5Y2J,Broker Integral,Hogar,Hogar Total,B,COP,3346900.0,$500.000,ampliada,2024-07-17,2024-10-15,trimestral,vencida,no,,,,1894700.0,233400.0,2128100.0,financiado,anual,al_dia,0,0.0,2025-12-10,0,0.0,0.0,71,53,B,ASES004,Carlos Díaz,2025-12-19,no_interesado,email,2026-02-10,Enviar propuesta,+573598967370,sofia.diaz47@example.com,Cali,Valle del Cauca,2025-11-25,2026-01-08,broker,1,61,10808100.0,3,21203900.0,0.1053,,,,,,0.0,0.1911,Siniestralidad,Efectivo,,RECLOW4VSSRU,,0.0,normal,,,rojo,-463,45,0.7665,0.9062,0.9487,7,0.6188,0.1609,0.706,0.3976,0,no,sí,36,92,1,1,0,,noche,es,no,sí,sí,92,,0.1354,256500.0,,referido,meta,cpc,q1_2026,llamada,2026-01-20,cambio cobertura,41,no,media,completa,,2025-11-30,,,,,sí,2025-11-30,,u_admin,sí,recaudo,4,docs,9.004918,-73.062409,alta,0.9905,Transferencia,no,,no,,,,tag_a,0.8265,8011,,,tag_a,,8899,,tag_a,flag_no,,,5674,tag_a,3505,,,tag_a,,9614,,,0.32,,,,,,2252,,2587,,tag_b,,,tag_a,,,0.8955,3804,,611,0.3892,,0.0108,,0.9054,tag_b,0.0913,,4742,0.3193,,1758,tag_a,,NA
